Method,Avg_Kendall_Tau
FairMedian,0.728421052631579
KuhlmanConsensus,0.728421052631579
PostNDCG,0.7242105263157895
iRANK,0.7242105263157895
RRF,0.7242105263157895
DIBRA,0.7242105263157895
CombANZ,0.7242105263157895
Mean,0.7242105263157895
Dowdall,0.7242105263157895
CombSUM,0.7242105263157895
Median,0.7221052631578948
CombMNZ,0.7221052631578948
CG,0.7221052631578948
BordaCount,0.7221052631578948
ER,0.7221052631578948
MC4,0.7115789473684211
CombMIN,0.6905263157894737
CombMAX,0.68
MC2,0.671578947368421
MC1,0.6357894736842107
MC3,0.6357894736842107
